angle,distance
117.559204,0.000000
117.745972,0.000000
117.751465,0.000000
117.949219,0.000000
117.960205,0.000000
118.135986,0.000000
118.168945,0.000000
118.339233,0.000000
118.526001,0.000000
118.729248,0.000000
118.921509,0.000000
119.124756,0.000000
119.328003,0.000000
119.514771,0.000000
119.718018,0.000000
119.904785,0.000000
120.294800,0.000000
120.651855,0.000000
121.058350,0.000000
122.349243,0.000000
122.557983,0.000000
122.766724,0.000000
122.975464,0.000000
123.184204,0.000000
123.392944,0.000000
123.403931,0.000000
123.601685,0.000000
123.651123,0.000000
123.810425,0.000000
123.854370,0.000000
124.046631,0.000000
124.249878,0.000000
124.573975,0.000000
126.947021,0.000000
127.529297,0.000000
127.573242,0.000000
127.732544,0.000000
127.935791,0.000000
127.990723,0.000000
128.122559,0.000000
128.199463,0.000000
128.325806,0.000000
128.408203,0.000000
128.616943,0.000000
128.715820,0.000000
128.825684,0.000000
129.034424,0.000000
129.243164,0.000000
129.248657,0.000000
129.451904,0.000000
129.495850,0.000000
129.660645,0.000000
129.699097,0.000000
129.869385,0.000000
129.902344,0.000000
130.078125,0.000000
130.089111,0.000000
130.292358,0.000000
130.479126,0.000000
130.682373,0.000000
130.885620,0.000000
131.077881,0.000000
131.281128,0.000000
131.330566,0.000000
131.467896,0.000000
131.671143,0.000000
131.748047,0.000000
131.874390,0.000000
131.956787,0.000000
132.165527,0.000000
132.264404,0.000000
132.374268,0.000000
132.588501,0.000000
132.797241,0.000000
133.005981,0.000000
133.044434,0.000000
133.214722,0.000000
133.247681,0.000000
133.423462,0.000000
133.434448,0.000000
133.632202,0.000000
133.637695,0.000000
133.840942,0.000000
133.840942,0.000000
134.027710,0.000000
134.049683,0.000000
134.230957,0.000000
134.258423,0.000000
134.417725,0.000000
134.467163,0.000000
134.620972,0.000000
134.824219,0.000000
135.010986,0.000000
135.153809,0.000000
135.719604,0.000000
135.747070,0.000000
135.889893,0.000000
136.093140,0.000000
136.137085,0.000000
136.296387,0.000000
136.345825,0.000000
136.483154,0.000000
136.686401,0.000000
136.873169,0.000000
137.076416,0.000000
137.279663,0.000000
137.466431,0.000000
137.669678,0.000000
137.856445,0.000000
138.372803,0.000000
138.559570,0.000000
138.762817,0.000000
138.966064,0.000000
139.152832,0.000000
139.356079,0.000000
139.482422,0.000000
139.542847,0.000000
139.899902,0.000000
140.026245,0.000000
140.108643,0.000000
140.229492,0.000000
140.317383,0.000000
140.421753,0.000000
140.625000,0.000000
140.811768,0.000000
141.015015,0.000000
141.218262,0.000000
141.405029,0.000000
141.608276,0.000000
141.795044,0.000000
141.998291,0.000000
142.201538,0.000000
142.388306,0.000000
142.591553,0.000000
142.794800,0.000000
142.981567,0.000000
143.031006,0.000000
143.184814,0.000000
143.239746,0.000000
143.657227,0.000000
143.684692,0.000000
143.865967,0.000000
143.887939,0.000000
144.091187,0.000000
144.277954,0.000000
144.481201,0.000000
144.871216,0.000000
145.151367,0.000000
145.354614,0.000000
145.557861,0.000000
145.744629,0.000000
145.947876,0.000000
146.151123,0.000000
146.343384,0.000000
146.376343,0.000000
146.546631,0.000000
146.733398,0.000000
147.139893,0.000000
147.557373,0.000000
147.749634,0.000000
147.952881,0.000000
148.046265,0.000000
148.156128,0.000000
148.255005,0.000000
148.342896,0.000000
148.546143,0.000000
148.749390,0.000000
148.936157,0.000000
149.139404,0.000000
149.386597,0.000000
149.589844,0.000000
149.776611,0.000000
149.979858,0.000000
